,relative_path,classID
0,/fold5/100032-3-0-0.wav,3.0
1,/fold5/100263-2-0-117.wav,2.0
2,/fold5/100263-2-0-121.wav,2.0
3,/fold5/100263-2-0-126.wav,2.0
4,/fold5/100263-2-0-137.wav,2.0
5,/fold5/100263-2-0-143.wav,2.0
6,/fold5/100263-2-0-161.wav,2.0
7,/fold5/100263-2-0-3.wav,2.0
8,/fold5/100263-2-0-36.wav,2.0
9,/fold10/100648-1-0-0.wav,1.0
10,/fold10/100648-1-1-0.wav,1.0
11,/fold10/100648-1-2-0.wav,1.0
12,/fold10/100648-1-3-0.wav,1.0
13,/fold10/100648-1-4-0.wav,1.0
14,/fold2/100652-3-0-0.wav,3.0
15,/fold2/100652-3-0-1.wav,3.0
16,/fold2/100652-3-0-2.wav,3.0
17,/fold2/100652-3-0-3.wav,3.0
18,/fold10/100795-3-0-0.wav,3.0
19,/fold10/100795-3-1-0.wav,3.0
20,/fold10/100795-3-1-1.wav,3.0
21,/fold10/100795-3-1-2.wav,3.0
22,/fold5/100852-0-0-0.wav,0.0
23,/fold5/100852-0-0-1.wav,0.0
24,/fold5/100852-0-0-10.wav,0.0
25,/fold5/100852-0-0-11.wav,0.0
26,/fold5/100852-0-0-12.wav,0.0
27,/fold5/100852-0-0-13.wav,0.0
28,/fold5/100852-0-0-14.wav,0.0
29,/fold5/100852-0-0-15.wav,0.0
30,/fold5/100852-0-0-16.wav,0.0
31,/fold5/100852-0-0-17.wav,0.0
32,/fold5/100852-0-0-18.wav,0.0
33,/fold5/100852-0-0-19.wav,0.0
34,/fold5/100852-0-0-2.wav,0.0
35,/fold5/100852-0-0-20.wav,0.0
36,/fold5/100852-0-0-21.wav,0.0
37,/fold5/100852-0-0-22.wav,0.0
38,/fold5/100852-0-0-23.wav,0.0
39,/fold5/100852-0-0-24.wav,0.0
40,/fold5/100852-0-0-25.wav,0.0
41,/fold5/100852-0-0-26.wav,0.0
42,/fold5/100852-0-0-27.wav,0.0
43,/fold5/100852-0-0-28.wav,0.0
44,/fold5/100852-0-0-29.wav,0.0
45,/fold5/100852-0-0-3.wav,0.0
46,/fold5/100852-0-0-30.wav,0.0
47,/fold5/100852-0-0-4.wav,0.0
48,/fold5/100852-0-0-5.wav,0.0
49,/fold5/100852-0-0-6.wav,0.0
50,/fold5/100852-0-0-7.wav,0.0
51,/fold5/100852-0-0-8.wav,0.0
52,/fold5/100852-0-0-9.wav,0.0
53,/fold6/101281-3-0-0.wav,3.0
54,/fold6/101281-3-0-14.wav,3.0
55,/fold6/101281-3-0-5.wav,3.0
56,/fold10/101382-2-0-10.wav,2.0
57,/fold10/101382-2-0-12.wav,2.0
58,/fold10/101382-2-0-20.wav,2.0
59,/fold10/101382-2-0-21.wav,2.0
60,/fold10/101382-2-0-29.wav,2.0
61,/fold10/101382-2-0-33.wav,2.0
62,/fold10/101382-2-0-42.wav,2.0
63,/fold10/101382-2-0-45.wav,2.0
64,/fold1/101415-3-0-2.wav,3.0
65,/fold1/101415-3-0-3.wav,3.0
66,/fold1/101415-3-0-8.wav,3.0
67,/fold9/101729-0-0-1.wav,0.0
68,/fold9/101729-0-0-11.wav,0.0
69,/fold9/101729-0-0-12.wav,0.0
70,/fold9/101729-0-0-13.wav,0.0
71,/fold9/101729-0-0-14.wav,0.0
72,/fold9/101729-0-0-16.wav,0.0
73,/fold9/101729-0-0-17.wav,0.0
74,/fold9/101729-0-0-18.wav,0.0
75,/fold9/101729-0-0-19.wav,0.0
76,/fold9/101729-0-0-21.wav,0.0
77,/fold9/101729-0-0-22.wav,0.0
78,/fold9/101729-0-0-23.wav,0.0
79,/fold9/101729-0-0-24.wav,0.0
80,/fold9/101729-0-0-26.wav,0.0
81,/fold9/101729-0-0-28.wav,0.0
82,/fold9/101729-0-0-29.wav,0.0
83,/fold9/101729-0-0-3.wav,0.0
84,/fold9/101729-0-0-32.wav,0.0
85,/fold9/101729-0-0-33.wav,0.0
86,/fold9/101729-0-0-36.wav,0.0
87,/fold9/101729-0-0-37.wav,0.0
88,/fold9/101729-0-0-38.wav,0.0
89,/fold9/101729-0-0-39.wav,0.0
90,/fold9/101729-0-0-4.wav,0.0
91,/fold9/101729-0-0-40.wav,0.0
92,/fold9/101729-0-0-6.wav,0.0
93,/fold9/101729-0-0-9.wav,0.0
94,/fold7/101848-9-0-0.wav,9.0
95,/fold7/101848-9-0-1.wav,9.0
96,/fold7/101848-9-0-2.wav,9.0
97,/fold7/101848-9-0-3.wav,9.0
98,/fold7/101848-9-0-8.wav,9.0
99,/fold7/101848-9-0-9.wav,9.0
100,/fold4/102102-3-0-0.wav,3.0
101,/fold10/102103-3-0-0.wav,3.0
102,/fold10/102103-3-1-0.wav,3.0
103,/fold2/102104-3-0-0.wav,3.0
104,/fold3/102105-3-0-0.wav,3.0
105,/fold1/102106-3-0-0.wav,3.0
106,/fold1/102305-6-0-0.wav,6.0
107,/fold5/102547-3-0-2.wav,3.0
108,/fold5/102547-3-0-7.wav,3.0
109,/fold5/102547-3-0-8.wav,3.0
110,/fold1/102842-3-0-1.wav,3.0
111,/fold1/102842-3-1-0.wav,3.0
112,/fold1/102842-3-1-5.wav,3.0
113,/fold1/102842-3-1-6.wav,3.0
114,/fold7/102853-8-0-0.wav,8.0
115,/fold7/102853-8-0-1.wav,8.0
116,/fold7/102853-8-0-2.wav,8.0
117,/fold7/102853-8-0-3.wav,8.0
118,/fold7/102853-8-0-4.wav,8.0
119,/fold7/102853-8-0-5.wav,8.0
120,/fold7/102853-8-0-6.wav,8.0
